0,SP,(x_mean),(x_mean)^2,(x_mean)^3,(x_mean)^4,,WT,(x_mean),(x_mean)^2,(x_mean)^3,(x_mean)^4
1,104.1853528,-17.35491938,301.1932267,-5227.184167,90717.35981,,28.7620589,-3.65051801,13.32628174,-48.64783151,-48.64783151
2,105.4612635,105.4612635,11122.0781,1172948.409,123700621.2,,30.46683298,30.46683298,928.2279118,28280.16476,28280.16476
3,105.4612635,105.4612635,11122.0781,1172948.409,123700621.2,,30.19359657,30.19359657,911.6532738,27526.09116,27526.09116
4,113.4612635,113.4612635,12873.45832,1460638.846,165725929,,30.63211391,30.63211391,938.3264026,28742.92125,28742.92125
5,104.4612635,104.4612635,10912.15557,1139897.559,119075139.2,,29.88914864,29.88914864,893.3612064,26701.80589,26701.80589
6,113.1853528,113.1853528,12810.92409,1450008.963,164119776,,29.59176832,29.59176832,875.6727523,25912.70521,25912.70521
7,105.4612635,105.4612635,11122.0781,1172948.409,123700621.2,,30.30847957,30.30847957,918.6039338,27841.48856,27841.48856
8,102.5985128,102.5985128,10526.45483,1079998.61,110806251.3,,15.84775807,15.84775807,251.1514358,3980.187194,3980.187194
9,102.5985128,102.5985128,10526.45483,1079998.61,110806251.3,,16.35948352,16.35948352,267.632701,4378.332762,4378.332762
10,115.6452041,115.6452041,13373.81323,1546617.361,178858880.3,,30.92015417,30.92015417,956.0559339,29561.39687,29561.39687
11,111.1853528,111.1853528,12362.18268,1374493.642,152823560.5,,29.36334142,29.36334142,862.2058193,25317.24385,25317.24385
12,117.5985128,117.5985128,13829.41021,1626318.074,191252586.8,,15.75353468,15.75353468,248.1738549,3909.61543,3909.61543
13,122.1050553,122.1050553,14909.64453,1820542.97,222297500,,32.81359241,32.81359241,1076.731847,35331.43996,35331.43996
14,111.1853528,111.1853528,12362.18268,1374493.642,152823560.5,,29.3784363,29.3784363,863.0925194,25356.3086,25356.3086
15,108.1853528,108.1853528,11704.07056,1266209.003,136985267.7,,29.34727902,29.34727902,861.2627859,25275.71929,25275.71929
16,111.1853528,111.1853528,12362.18268,1374493.642,152823560.5,,29.60452658,29.60452658,876.427994,25946.23584,25946.23584
17,114.3692933,114.3692933,13080.33525,1495988.699,171095170.3,,29.5357836,29.5357836,872.3625129,25765.9104,25765.9104
18,117.5985128,117.5985128,13829.41021,1626318.074,191252586.8,,16.19412154,16.19412154,262.2495725,4246.90145,4246.90145
19,114.3692933,114.3692933,13080.33525,1495988.699,171095170.3,,29.92939368,29.92939368,895.7686061,26809.81126,26809.81126
20,118.4729364,118.4729364,14035.83666,1662866.784,197004710.7,,33.51697417,33.51697417,1123.387558,37652.55175,37652.55175
21,119.1050553,119.1050553,14186.0142,1689626.006,201242998.8,,32.32464971,32.32464971,1044.882979,33775.47628,33775.47628
22,110.8408174,110.8408174,12285.6868,1361755.567,150938100.2,,34.90821127,34.90821127,1218.583214,42538.56029,42538.56029
23,120.2889958,120.2889958,14469.44251,1740514.709,209364766.6,,32.6758277,32.6758277,1067.709716,34888.29871,34888.29871
24,113.8291446,113.8291446,12957.07416,1474892.668,167885770.8,,31.83712236,31.83712236,1013.60236,32270.18236,32270.18236
25,119.1853528,119.1853528,14205.14832,1693045.614,201786238.9,,28.78172789,28.78172789,828.3878603,23842.43398,23842.43398
26,114.5985128,114.5985128,13132.81914,1505001.542,172470938.5,,16.04317492,16.04317492,257.3834615,4129.247895,4129.247895
27,120.7605199,120.7605199,14583.10317,1761063.12,212666898,,38.06282335,38.06282335,1448.778521,55144.60093,55144.60093
28,119.1050553,119.1050553,14186.0142,1689626.006,201242998.8,,32.83506939,32.83506939,1078.141782,35400.86022,35400.86022
29,99.56490661,99.56490661,9913.170628,987003.9078,98270951.9,,34.4832075,34.4832075,1189.091599,41003.69236,41003.69236
30,121.8408174,121.8408174,14845.18478,1808749.449,220379511.3,,35.54935984,35.54935984,1263.756985,44925.75181,44925.75181
31,113.4846092,113.4846092,12878.75653,1461540.651,165862369.6,,37.04235003,37.04235003,1372.135696,50827.13073,50827.13073
32,112.2889958,112.2889958,12608.81858,1415831.576,158982305.9,,33.23436141,33.23436141,1104.522778,36708.1092,36708.1092
33,119.9211148,119.9211148,14381.07377,1724594.399,206815282.9,,31.38004084,31.38004084,984.7069631,30900.14472,30900.14472
34,121.3926389,121.3926389,14736.17278,1788862.901,217154788.2,,37.57328965,37.57328965,1411.752095,53044.17038,53044.17038
35,111.2889958,111.2889958,12385.24059,1378340.988,153394184.4,,32.701644,32.701644,1069.39752,34971.057,34971.057
36,115.0130851,115.0130851,13228.00974,1521394.21,174980241.8,,31.9112234,31.9112234,1018.326179,32496.03419,32496.03419
37,114.0933825,114.0933825,13017.29993,1485187.78,169450097.5,,28.75400008,28.75400008,826.7925206,23773.5922,23773.5922
38,116.909442,116.909442,13667.81763,1597896.932,186809238.7,,27.87991549,27.87991549,777.2896877,21670.77081,21670.77081
39,116.909442,116.909442,13667.81763,1597896.932,186809238.7,,28.63050247,28.63050247,819.7056717,23468.58526,23468.58526
40,128.4612635,128.4612635,16502.29622,2119905.823,272325780.5,,30.11543403,30.11543403,906.9393668,27312.87267,27312.87267
41,116.3926389,116.3926389,13547.24639,1576799.757,183527884.8,,37.39252442,37.39252442,1398.200883,52282.26064,52282.26064
42,115.7488471,115.7488471,13397.7956,1550779.395,179500927.1,,35.02717556,35.02717556,1226.903028,42974.94775,42974.94775
43,117.4612635,117.4612635,13797.14842,1620630.486,190361304.6,,30.52742698,30.52742698,931.923798,28449.23569,28449.23569
44,114.0933825,114.0933825,13017.29993,1485187.78,169450097.5,,28.34397592,28.34397592,803.380971,22771.0109,22771.0109
45,114.3809661,114.3809661,13083.00541,1496446.798,171165030.5,,33.07863163,33.07863163,1094.195871,36194.50213,36194.50213
46,117.1050553,117.1050553,13713.59398,1605931.181,188062659.8,,32.62191589,32.62191589,1064.189396,34715.89698,34715.89698
47,118.2086984,118.2086984,13973.29638,1651765.177,195253011.7,,36.49861738,36.49861738,1332.149071,48621.59922,48621.59922
48,116.4729364,116.4729364,13565.94491,1580065.439,184034861.4,,33.91005598,33.91005598,1149.891897,38992.89858,38992.89858
49,127.909442,127.909442,16360.82535,2092704.042,267676606.2,,28.07059654,28.07059654,787.9583901,22118.46206,22118.46206
50,118.2889958,118.2889958,13992.28653,1655133.522,195784082.3,,33.45847152,33.45847152,1119.469316,37455.73224,37455.73224
51,118.2889958,118.2889958,13992.28653,1655133.522,195784082.3,,33.21395395,33.21395395,1103.166737,36640.5292,36640.5292
52,118.2889958,118.2889958,13992.28653,1655133.522,195784082.3,,33.43671117,33.43671117,1118.013654,37382.69963,37382.69963
53,120.4043117,120.4043117,14497.19828,1745525.18,210168757.9,,40.39816357,40.39816357,1632.01162,65930.27237,65930.27237
54,143.3926389,143.3926389,20561.44889,2948360.416,422773180.5,,37.62069475,37.62069475,1415.316673,53245.19655,53245.19655
55,135.3926389,135.3926389,18331.16667,2481905.029,336031671.4,,37.25439197,37.25439197,1387.889721,51704.98768,51704.98768
56,126.4043117,126.4043117,15978.05002,2019694.415,255298082.3,,40.58906845,40.58906845,1647.472478,66869.37316,66869.37316
57,110.4612635,110.4612635,12201.69073,1347814.175,148881256.8,,30.14754329,30.14754329,908.8743664,27400.32931,27400.32931
58,118.2889958,118.2889958,13992.28653,1655133.522,195784082.3,,32.73451818,32.73451818,1071.54868,35076.62976,35076.62976
59,112.6452041,112.6452041,12688.94201,1429348.462,161009249.3,,30.61528334,30.61528334,937.295574,28695.56957,28695.56957
60,115.5765794,115.5765794,13357.94571,1543865.672,178434713.5,,37.66287367,37.66287367,1418.492053,53424.487,53424.487
61,130.2086984,130.2086984,16954.30514,2207598.004,287448462.7,,36.88815313,36.88815313,1360.735841,50195.03208,50195.03208
62,117.6685497,117.6685497,13845.88759,1629225.512,191708603.1,,37.86041143,37.86041143,1433.410754,54269.52088,54269.52088
63,126.0481035,126.0481035,15888.1244,2002667.948,252432496.8,,43.3909885,43.3909885,1882.777883,81695.59347,81695.59347
64,125.3123415,125.3123415,15703.18293,1967802.622,246589954.2,,40.72283115,40.72283115,1658.348977,67532.66537,67532.66537
65,128.128401,128.128401,16416.88714,2103469.499,269514183.5,,40.15948186,40.15948186,1612.783983,64768.56912,64768.56912
66,126.5985128,126.5985128,16027.18344,2029017.588,256870609.1,,15.71285853,15.71285853,246.8939232,3879.409287,3879.409287
67,132.4846092,132.4846092,17552.17167,2325392.605,308078730.5,,37.97995604,37.97995604,1442.477061,54785.21536,54785.21536
68,133.6802225,133.6802225,17870.40189,2388919.301,319351263.6,,41.57397476,41.57397476,1728.395377,71856.26579,71856.26579
69,133.3123415,133.3123415,17772.1804,2369250.982,315850396,,40.47204238,40.47204238,1637.986214,66292.64749,66292.64749
70,158.3006687,158.3006687,25059.10171,3966872.558,627958578.6,,37.14173328,37.14173328,1379.508351,51237.33123,51237.33123
71,164.5985128,164.5985128,27092.67042,4459413.258,734012790.3,,15.82306042,15.82306042,250.3692411,3961.607629,3961.607629
72,133.4159845,133.4159845,17799.82492,2374781.166,316833767.2,,44.01313857,44.01313857,1937.156367,85260.3316,85260.3316
73,133.1400738,133.1400738,17726.27925,2360078.128,314220976.1,,43.35312292,43.35312292,1879.493267,81481.90263,81481.90263
74,124.7152409,124.7152409,15553.89131,1939807.302,241923535,,52.99775236,52.99775236,2808.761755,148858.0599,148858.0599
75,121.864163,121.864163,14850.87422,1809789.357,220548465.2,,42.61869847,42.61869847,1816.353459,77410.6204,77410.6204
76,132.864163,132.864163,17652.88581,2345435.898,311624377.4,,42.77821864,42.77821864,1829.97599,78283.11301,78283.11301
77,169.5985128,169.5985128,28763.65554,4878273.203,827347880.3,,16.13294744,16.13294744,260.2719931,4198.954385,4198.954385
78,150.5765794,150.5765794,22673.30626,3414068.901,514078816.9,,37.92311321,37.92311321,1438.162516,54539.59989,54539.59989
79,151.5985128,151.5985128,22982.10908,3484053.558,528177337.9,,15.76962542,15.76962542,248.6810859,3921.607573,3921.607573
80,167.9444604,167.9444604,28205.34178,4736930.905,795541304.9,,39.42309899,39.42309899,1554.180734,61270.62092,61270.62092
81,139.8408174,139.8408174,19555.45421,2734650.702,382415789.4,,34.94861469,34.94861469,1221.405669,42686.4361,42686.4361
,,,,,,,,,,,
sum,9844.762047,9723.221774,1202070.704,150516078.5,19176165127,0,2625.41873,2593.006153,88774.03648,3150911.48,3150911.48
count,80,80,80,80,80,0,80,80,80,80,80
mean,121.5402722,,,,,,32.41257691,,,,
variance,,,15025.8838,,,,,,1109.675456,,
std variance€,,,122.5801118,122.580118,,,,,33.31179155,33.31179,
(e)^3,,,1841874.516,1841874.797,0,0,0,0,36965.27747,36965.28,
e^4,,,225777184.1,,225777184.1,0,0,0,1231379.618,,1231380
skewness,,,,1.021486903,,,,,,1.065496961,
kurtosis,,,,,1.06167532,,,,,,0.031985572
